iter	Passed	Remaining
413	3819	793
414	3826	783
415	3833	774
416	3841	764
417	3849	755
418	3858	745
419	3866	736
420	3874	727
421	3882	717
422	3889	707
423	3896	698
424	3903	688
425	3911	679
426	3917	669
427	3926	660
428	3934	651
429	3942	641
430	3950	632
431	3957	622
432	3965	613
433	3971	603
434	3980	594
435	3986	585
436	3994	575
437	4001	566
438	4009	557
439	4016	547
440	4024	538
441	4030	528
442	4038	519
443	4046	510
444	4054	501
445	4062	491
446	4070	482
447	4084	474
448	4098	465
449	4109	456
450	4124	448
451	4132	438
452	4140	429
453	4147	420
454	4153	410
455	4162	401
456	4169	392
457	4175	382
458	4183	373
459	4191	364
460	4201	355
461	4208	346
462	4216	336
463	4224	327
464	4233	318
465	4241	309
466	4248	300
467	4256	291
468	4264	281
469	4271	272
470	4278	263
471	4286	254
472	4292	245
473	4300	235
474	4308	226
475	4316	217
476	4324	208
477	4332	199
478	4339	190
479	4347	181
480	4354	172
481	4362	162
482	4370	153
483	4378	144
484	4386	135
485	4394	126
486	4401	117
487	4409	108
488	4420	99
489	4430	90
490	4440	81
491	4448	72
492	4456	63
493	4464	54
494	4471	45
495	4479	36
496	4488	27
497	4495	18
498	4504	9
499	4512	0
