dataset,MAE,RMSE,R2
npu_dense_panel,0.04807978752612677,0.13682433858277637,0.7551283944787525
npu_sparse_panel,0.13400908989889243,0.28870575928131137,0.45053489328363794
data/processed/apd/npu_dense_panel.parquet,,,
