datetime,npu,actual,rf_pred,xgb_pred,prophet_pred
2024-01-19,A,1,1.0,1.0,1.0
2024-01-23,A,1,1.0,1.0,1.0
2024-01-30,A,1,1.0,1.0,1.0
2024-02-04,A,1,1.0,1.0,1.0
2024-02-05,A,1,1.0,1.0,1.0
2024-02-14,A,1,1.0,1.0,1.0
2024-02-28,A,1,1.0,1.0,1.0
2024-03-18,A,1,1.0,1.0,1.0
2024-03-19,A,1,1.0,1.0,1.0
2024-04-03,A,1,1.0,1.0,1.0
2024-04-20,A,1,1.0,1.0,1.0
2024-04-27,A,1,1.0,1.0,1.0
2024-04-30,A,1,1.0,1.0,1.0
2024-06-02,A,1,1.0,1.0,1.0
2024-06-04,A,1,1.0,1.0,1.0
2024-06-25,A,1,1.0,1.0,1.0
2024-08-13,A,1,1.0,1.0,1.0
2024-08-14,A,1,1.0,1.0,1.0
2024-08-15,A,1,1.0,1.0,1.0
2024-08-22,A,1,1.0,1.0,1.0
2024-09-24,A,1,1.0,1.0,1.0
2024-10-01,A,2,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-10-09,A,2,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-10-18,A,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-11-21,A,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-11-25,A,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-11-26,A,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-11-29,A,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-12-07,A,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-12-14,A,1,1.0,1.0,1.0
2024-12-26,A,1,1.0,1.0,1.0
2024-01-01,B,1,1.0,1.0,1.0
2024-01-03,B,1,1.0,1.0,1.0
2024-01-04,B,1,1.0,1.0,1.0
2024-01-06,B,1,1.0,1.0,1.0
2024-01-07,B,1,1.0,1.0,1.0
2024-01-08,B,1,1.0,1.0,1.0
2024-01-09,B,3,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-01-10,B,2,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-01-12,B,1,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-01-14,B,2,1.5714285714285714,1.5714285714285714,1.5714285714285714
2024-01-15,B,2,1.7142857142857142,1.7142857142857142,1.7142857142857142
2024-01-21,B,3,2.0,2.0,2.0
2024-01-22,B,1,2.0,2.0,2.0
2024-01-24,B,1,1.7142857142857142,1.7142857142857142,1.7142857142857142
2024-01-26,B,2,1.7142857142857142,1.7142857142857142,1.7142857142857142
2024-01-27,B,1,1.7142857142857142,1.7142857142857142,1.7142857142857142
2024-01-28,B,2,1.7142857142857142,1.7142857142857142,1.7142857142857142
2024-01-29,B,3,1.8571428571428572,1.8571428571428572,1.8571428571428572
2024-01-30,B,1,1.5714285714285714,1.5714285714285714,1.5714285714285714
2024-02-02,B,2,1.7142857142857142,1.7142857142857142,1.7142857142857142
2024-02-03,B,2,1.8571428571428572,1.8571428571428572,1.8571428571428572
2024-02-05,B,1,1.7142857142857142,1.7142857142857142,1.7142857142857142
2024-02-06,B,1,1.7142857142857142,1.7142857142857142,1.7142857142857142
2024-02-08,B,1,1.5714285714285714,1.5714285714285714,1.5714285714285714
2024-02-09,B,2,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-02-11,B,1,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-02-12,B,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-02-15,B,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-02-16,B,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-02-19,B,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-02-20,B,3,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-02-22,B,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-02-23,B,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-02-24,B,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-02-27,B,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-02-28,B,2,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-03-03,B,1,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-03-04,B,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-03-07,B,3,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-03-09,B,1,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-03-11,B,1,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-03-12,B,2,1.5714285714285714,1.5714285714285714,1.5714285714285714
2024-03-13,B,1,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-03-15,B,1,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-03-16,B,1,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-03-18,B,2,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-03-19,B,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-03-27,B,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-04-01,B,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-04-03,B,2,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-04-04,B,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-04-05,B,2,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-04-07,B,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-04-16,B,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-04-17,B,2,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-04-19,B,2,1.5714285714285714,1.5714285714285714,1.5714285714285714
2024-04-22,B,1,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-04-24,B,1,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-04-26,B,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-04-27,B,2,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-05-01,B,1,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-05-02,B,2,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-05-03,B,2,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-05-04,B,2,1.5714285714285714,1.5714285714285714,1.5714285714285714
2024-05-09,B,1,1.5714285714285714,1.5714285714285714,1.5714285714285714
2024-05-11,B,1,1.5714285714285714,1.5714285714285714,1.5714285714285714
2024-05-12,B,2,1.5714285714285714,1.5714285714285714,1.5714285714285714
2024-05-13,B,3,1.8571428571428572,1.8571428571428572,1.8571428571428572
2024-05-14,B,1,1.7142857142857142,1.7142857142857142,1.7142857142857142
2024-05-16,B,1,1.5714285714285714,1.5714285714285714,1.5714285714285714
2024-05-17,B,1,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-05-18,B,1,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-05-20,B,2,1.5714285714285714,1.5714285714285714,1.5714285714285714
2024-05-22,B,2,1.5714285714285714,1.5714285714285714,1.5714285714285714
2024-05-25,B,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-05-30,B,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-06-02,B,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-06-03,B,2,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-06-04,B,2,1.5714285714285714,1.5714285714285714,1.5714285714285714
2024-06-08,B,1,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-06-09,B,3,1.5714285714285714,1.5714285714285714,1.5714285714285714
2024-06-10,B,1,1.5714285714285714,1.5714285714285714,1.5714285714285714
2024-06-11,B,1,1.5714285714285714,1.5714285714285714,1.5714285714285714
2024-06-12,B,1,1.5714285714285714,1.5714285714285714,1.5714285714285714
2024-06-15,B,1,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-06-16,B,2,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-06-19,B,2,1.5714285714285714,1.5714285714285714,1.5714285714285714
2024-06-20,B,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-06-21,B,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-06-22,B,2,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-06-23,B,1,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-06-26,B,1,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-06-30,B,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-07-02,B,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-07-04,B,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-07-05,B,2,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-07-07,B,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-07-08,B,3,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-07-09,B,2,1.5714285714285714,1.5714285714285714,1.5714285714285714
2024-07-10,B,1,1.5714285714285714,1.5714285714285714,1.5714285714285714
2024-07-13,B,1,1.5714285714285714,1.5714285714285714,1.5714285714285714
2024-07-14,B,3,1.8571428571428572,1.8571428571428572,1.8571428571428572
2024-07-15,B,2,1.8571428571428572,1.8571428571428572,1.8571428571428572
2024-07-16,B,1,1.8571428571428572,1.8571428571428572,1.8571428571428572
2024-07-17,B,1,1.5714285714285714,1.5714285714285714,1.5714285714285714
2024-07-18,B,2,1.5714285714285714,1.5714285714285714,1.5714285714285714
2024-07-19,B,4,2.0,2.0,2.0
2024-07-22,B,1,2.0,2.0,2.0
2024-07-25,B,2,1.8571428571428572,1.8571428571428572,1.8571428571428572
2024-07-29,B,2,1.8571428571428572,1.8571428571428572,1.8571428571428572
2024-07-30,B,2,2.0,2.0,2.0
2024-08-02,B,2,2.142857142857143,2.142857142857143,2.142857142857143
2024-08-03,B,2,2.142857142857143,2.142857142857143,2.142857142857143
2024-08-05,B,1,1.7142857142857142,1.7142857142857142,1.7142857142857142
2024-08-06,B,1,1.7142857142857142,1.7142857142857142,1.7142857142857142
2024-08-10,B,2,1.7142857142857142,1.7142857142857142,1.7142857142857142
2024-08-11,B,2,1.7142857142857142,1.7142857142857142,1.7142857142857142
2024-08-12,B,3,1.8571428571428572,1.8571428571428572,1.8571428571428572
2024-08-13,B,1,1.7142857142857142,1.7142857142857142,1.7142857142857142
