Fold,Fold_Number,Train_End,Test_End,Train_Size,Test_Size,MAE,RMSE,R²,MAPE
Fold 1,1,2022-01-01,2022-07-01,20866,9971,0.23265605980529586,0.38293030596618094,-0.0017726151142456459,17.334103926596306
Fold 2,2,2022-07-01,2023-01-01,30837,11124,0.2388941222383806,0.4243938094357521,-9.648821794883133e-07,17.114889755929138
Fold 3,3,2023-01-01,2023-07-01,41961,10677,0.24356682132733284,0.43481161153134507,-0.00023017573957240245,17.308320138104712
Fold 4,4,2023-07-01,2024-01-01,52638,11006,0.23252379455390618,0.3995535928422502,-0.000608840799681154,17.04005076528384
