Fold,Fold_Number,Train_End,Test_End,Train_Size,Test_Size,MAE,RMSE,R²,MAPE
Fold 1,1,2022-01-01,2022-07-01,20866,9971,0.21874741752235077,0.3984241552070854,-0.08447863089167451,16.332126249317124
Fold 2,2,2022-07-01,2023-01-01,30837,11124,0.22030424357035527,0.4246699346380549,-0.0013026582195996284,15.645009018925608
Fold 3,3,2023-01-01,2023-07-01,41961,10677,0.22178354582531454,0.42806209391288236,0.030581665831564853,15.618901903877958
Fold 4,4,2023-07-01,2024-01-01,52638,11006,0.21318086327069286,0.3932282728698476,0.030821599304713065,15.575580889194546
