Fold,Fold_Number,Train_End,Test_End,Train_Size,Test_Size,MAE,RMSE,R²,MAPE
Fold 1,1,2022-01-01,2022-07-01,20866,9971,0.07806502282619476,0.20667171749132926,0.7081956267356873,5.490599327667523
Fold 2,2,2022-07-01,2023-01-01,30837,11124,0.0851377323269844,0.24023689485794564,0.6795636415481567,5.9159867360041165
Fold 3,3,2023-01-01,2023-07-01,41961,10677,0.07136432826519012,0.23018460618954462,0.719682514667511,4.597610329364128
Fold 4,4,2023-07-01,2024-01-01,52638,11006,0.0748981237411499,0.20017692667573578,0.7488447427749634,5.384330877665536
