Fold,Fold_Number,Train_End,Test_End,Train_Size,Test_Size,MAE,RMSE,R²,MAPE
Fold 1,1,2022-01-01,2022-07-01,20866,9971,0.23264208272426734,0.38292776251509525,-0.0017593074645563256,17.332706218493595
Fold 2,2,2022-07-01,2023-01-01,30837,11124,0.2388820620964204,0.42439190323884995,8.018257621866809e-06,17.113683741733244
Fold 3,3,2023-01-01,2023-07-01,41961,10677,0.24356682132733284,0.43481161153134507,-0.00023017573957240245,17.308320138104712
Fold 4,4,2023-07-01,2024-01-01,52638,11006,0.23248683140940288,0.3995473202876978,-0.0005774241167333383,17.036354450833883
