Fold,Fold_Number,Train_End,Test_End,Train_Size,Test_Size,MAE,RMSE,R²,MAPE
Fold 1,1,2022-01-01,2022-07-01,20866,9971,0.07184067126933318,0.2058794055102955,0.7104287178959725,4.985223115232895
Fold 2,2,2022-07-01,2023-01-01,30837,11124,0.07436445677562491,0.22676313443692647,0.7144992580165506,5.072617665685309
Fold 3,3,2023-01-01,2023-07-01,41961,10677,0.06533313602557951,0.22302808873502453,0.7368418580896372,4.1502466836557454
Fold 4,4,2023-07-01,2024-01-01,52638,11006,0.06665995428398593,0.19700404533273178,0.7567434497084884,4.654229441647804
