Fold,Fold_Number,Train_End,Test_End,Train_Size,Test_Size,MAE,RMSE,R²,MAPE
Fold 1,1,2022-01-01,2022-07-01,20866,9971,0.20932982210004786,0.3745498315787151,0.041595398482948354,15.201983648896555
Fold 2,2,2022-07-01,2023-01-01,30837,11124,0.23313555382455448,0.4139952438791474,0.04840304843582943,16.95428814862618
Fold 3,3,2023-01-01,2023-07-01,41961,10677,0.2193824430119696,0.42301785487659466,0.05329410114786548,15.145160096005153
Fold 4,4,2023-07-01,2024-01-01,52638,11006,0.21813956087386566,0.38655142166028045,0.06345466501719255,15.97456309800479
