Fold,Fold_Number,Train_End,Test_End,Train_Size,Test_Size,MAE,RMSE,R²,MAPE
Fold 1,1,2022-01-01,2022-07-01,20866,9971,0.06612991318887293,0.18928187003338487,0.7552359030883509,4.446323803808429
Fold 2,2,2022-07-01,2023-01-01,30837,11124,0.07164638564969034,0.21691746504885343,0.7387529593818583,4.736074587507382
Fold 3,3,2023-01-01,2023-07-01,41961,10677,0.06624892709791035,0.21267183922407998,0.760713796172267,4.153520017688504
Fold 4,4,2023-07-01,2024-01-01,52638,11006,0.06929453294403128,0.18595753747207824,0.7832586230477645,4.823701483415542
