iter	Passed	Remaining
400	25289	37775
401	25330	37681
402	25376	37592
403	25427	37511
404	25473	37424
405	25556	37390
406	25606	37308
407	25652	37220
408	25697	37132
409	25765	37076
410	25810	36988
411	25862	36910
412	25908	36823
413	25952	36735
414	25999	36649
415	26044	36563
416	26097	36487
417	26139	36395
418	26181	36304
419	26272	36280
420	26378	36278
421	26479	36268
422	26590	36271
423	26690	36259
424	26817	36282
425	26919	36271
426	27028	36270
427	27129	36256
428	27246	36265
429	27345	36249
430	27458	36250
431	27590	36275
432	27722	36302
433	27837	36304
434	27934	36282
435	28043	36275
436	28143	36258
437	28241	36236
438	28346	36223
439	28458	36220
440	28585	36233
441	28696	36227
442	28835	36255
443	28956	36261
444	29068	36253
445	29159	36220
446	29261	36199
447	29374	36194
448	29481	36179
449	29592	36168
450	29700	36154
451	29830	36165
452	29945	36159
453	30030	36115
454	30142	36104
455	30253	36091
456	30377	36094
457	30492	36084
458	30616	36086
459	30710	36051
460	30821	36036
461	30913	35999
462	31018	35976
463	31109	35936
464	31216	35915
465	31314	35883
466	31406	35845
467	31503	35811
468	31611	35789
469	31693	35739
470	31781	35695
471	31883	35666
472	32046	35705
473	32153	35681
474	32258	35654
475	32362	35626
476	32424	35551
477	32469	35458
478	32512	35363
479	32562	35275
480	32613	35189
481	32658	35097
482	32697	34999
483	32777	34944
484	32842	34873
485	32885	34779
486	32927	34685
487	32971	34593
488	33020	34505
489	33068	34418
490	33132	34347
491	33197	34277
492	33251	34195
493	33297	34106
494	33344	34018
495	33393	33931
496	33439	33843
497	33486	33755
498	33540	33674
499	33587	33587
500	33636	33502
501	33686	33417
502	33732	33329
503	33785	33249
504	33827	33157
505	33869	33065
506	33912	32975
507	33952	32882
508	33994	32792
509	34056	32721
510	34110	32642
511	34161	32559
512	34211	32477
513	34254	32388
514	34307	32309
515	34362	32231
516	34408	32145
517	34455	32060
518	34502	31976
519	34547	31890
520	34590	31801
521	34634	31715
522	34685	31634
523	34735	31553
524	34784	31471
525	34832	31389
526	34874	31301
527	34927	31222
528	34976	31141
529	35025	31060
530	35072	30977
531	35119	30894
532	35164	30810
533	35208	30724
534	35256	30643
535	35305	30562
536	35359	30486
537	35412	30410
538	35456	30325
539	35502	30242
540	35550	30162
541	35599	30082
542	35646	30000
543	35693	29919
544	35744	29841
545	35844	29804
546	35899	29730
547	35941	29645
548	35987	29563
549	36030	29479
550	36093	29411
551	36171	29356
552	36220	29278
553	36294	29219
554	36352	29147
555	36404	29071
556	36451	28990
557	36499	28912
558	36549	28834
559	36597	28754
560	36647	28677
561	36690	28595
562	36740	28518
563	36792	28442
564	36846	28368
565	36895	28290
566	36942	28211
567	36989	28132
568	37031	28050
569	37081	27974
570	37134	27899
571	37183	27822
572	37228	27743
573	37273	27663
574	37317	27582
575	37374	27511
576	37420	27433
577	37469	27356
578	37516	27278
579	37562	27200
580	37604	27119
581	37651	27041
582	37693	26960
583	37744	26886
584	37790	26808
585	37841	26734
586	37888	26657
587	37940	26584
588	37990	26509
589	38040	26435
590	38086	26357
591	38148	26291
592	38250	26252
593	38302	26179
594	38355	26107
595	38405	26033
596	38452	25957
597	38499	25880
598	38545	25804
599	38589	25726
600	38630	25646
601	38677	25570
602	38721	25493
603	38767	25417
604	38812	25340
605	38911	25298
606	38995	25247
607	39073	25192
608	39139	25128
609	39189	25055
610	39236	24980
611	39295	24912
612	39344	24839
613	39401	24770
614	39445	24693
615	39496	24621
616	39541	24545
617	39588	24470
618	39641	24399
619	39684	24322
620	39733	24249
621	39775	24172
622	39823	24098
623	39864	24021
624	39911	23946
625	39961	23875
626	40012	23803
627	40065	23732
628	40115	23661
629	40165	23589
630	40216	23517
631	40305	23468
632	40359	23399
633	40408	23327
634	40456	23254
635	40498	23178
636	40545	23105
637	40591	23031
638	40637	22957
639	40684	22885
640	40726	22809
641	40773	22736
642	40837	22673
643	40894	22606
644	40948	22537
645	41004	22469
646	41048	22395
647	41098	22325
648	41148	22254
